;Symbol;model;number_correct_entries;number_entries;percent_correct_entries;simulate_entry;simulate_return;simulate_variation;first_entry;last_entry
0;1CAT-USD;Xv_pb_10N_15d;0;5;0,0;500;768,6421733399487;0,5372843466798974;2024-07-06;2024-07-10
1;1INCH-USD;Xv_pb_20N_30d;10;86;0,11627906976744186;8600;8515,578491072776;-0,009816454526421377;2024-01-01;2024-06-29
2;1INCH-USD;lr_pb_10N_30d;3;23;0,13043478260869565;2300;2821,2097115450547;0,22661291806306724;2024-01-01;2024-02-14
3;1INCH-USD;Xv_pb_10N_15d;27;115;0,23478260869565218;11500;11651,05359157112;0,013135094919227888;2024-01-21;2024-07-10
4;1INCH-USD;Xv_pb_10P_30d;37;69;0,5362318840579711;6900;7466,7015958746;0,08213066606878255;2024-01-01;2024-04-12
5;AA-USD;Xv_pb_20N_30d;18;57;0,3157894736842105;5700;5325,986676908679;-0,06561637247216152;2024-01-01;2024-06-25
6;AA-USD;lr_pb_10N_30d;44;98;0,4489795918367347;9800;9329,460108510451;-0,04801427464179067;2024-01-01;2024-06-11
7;AA-USD;Xv_pb_10N_15d;14;92;0,15217391304347827;9200;9527,700867039648;0,035619659460831316;2024-01-19;2024-07-10
8;AA-USD;Xv_pb_10P_30d;14;62;0,22580645161290322;6200;5679,651474261499;-0,08392718157072596;2024-01-01;2024-05-09
9;AA-USD;Xv_pb_10N_30d;0;4;0,0;400;399,59471691832414;-0,0010132077041896538;2024-02-25;2024-05-10
10;AAVE-USD;Xv_pb_20N_30d;31;155;0,2;15500;15949,732988359774;0,029015031507082196;2024-01-01;2024-07-10
11;AAVE-USD;Xv_pb_15N_30d;18;22;0,8181818181818182;2200;1680,87551445576;-0,23596567524738185;2024-01-02;2024-06-08
12;AAVE-USD;lr_pb_10N_30d;10;33;0,30303030303030304;3300;3785,0273616004165;0,14697798836376258;2024-01-01;2024-02-12
13;AAVE-USD;Xv_pb_10N_15d;37;184;0,20108695652173914;18400;18695,60854231895;0,016065681647769055;2024-01-01;2024-07-10
14;AAVE-USD;Xv_pb_10P_30d;36;96;0,375;9600;10066,477269729048;0,04859138226344252;2024-01-01;2024-06-10
15;AAVE-USD;Xv_pb_10N_30d;7;39;0,1794871794871795;3900;4394,877014924271;0,1268915422882746;2024-01-28;2024-07-10
16;ABBC-USD;lr_pb_10N_30d;20;34;0,5882352941176471;3400;2648,2202565774996;-0,22111168924191188;2024-01-01;2024-05-18
17;ABBC-USD;Xv_pb_10N_15d;58;113;0,5132743362831859;11300;10091,187778467745;-0,10697453287896058;2024-01-19;2024-07-06
18;ABBC-USD;Xv_pb_10P_30d;0;29;0,0;2900;2033,180988171874;-0,29890310752693994;2024-01-01;2024-05-23
19;ABBC-USD;Xv_pb_10N_30d;4;4;1,0;400;328,9002261512061;-0,17774943462198478;2024-01-23;2024-01-26
20;ACH-USD;Xv_pb_20N_30d;7;76;0,09210526315789473;7600;7402,023106869191;-0,026049591201422237;2024-01-01;2024-07-10
21;ACH-USD;lr_pb_10N_30d;3;14;0,21428571428571427;1400;1612,6219698194104;0,15187283558529316;2024-01-01;2024-05-18
22;ACH-USD;Xv_pb_10N_15d;33;120;0,275;12000;12017,3534952643;0,0014461246053583637;2024-01-13;2024-07-10
23;ACH-USD;Xv_pb_10P_30d;17;51;0,3333333333333333;5100;5867,939265666387;0,1505763266012523;2024-01-01;2024-05-23
24;ACH-USD;Xv_pb_10N_30d;0;2;0,0;200;281,5505679585937;0,4077528397929686;2024-01-28;2024-01-29
25;ACQ-USD;Xv_pb_20N_30d;12;14;0,8571428571428571;1400;933,7033737332223;-0,3330690187619841;2024-04-07;2024-05-06
26;ACQ-USD;lr_pb_10N_30d;5;7;0,7142857142857143;700;631,7443413930005;-0,09750808372428504;2024-01-05;2024-03-23
