,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
0,BTC-USD,0.0,2017-12-31,2024-08-04,2409 days,100.0,100.0,0.0,302.2137189682062,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf
2,SOL-USD,-0.1303364517619775,2020-04-09,2024-08-04,1579 days,100.0,86.96635482380225,-13.03364517619775,13954.692223721126,100.0,0.0,27.702663779410447,12 days,1,0,1,-13.033645176197751,,,,,,,,,,-0.16831763367764072,-0.11466628215316597,0.867217603192799,-0.2236112725390232
1,ETH-USD,-0.28023797523244726,2017-12-31,2024-08-04,2409 days,100.0,71.97620247675528,-28.023797523244724,218.25419959791043,100.0,0.0,30.471113499327902,15 days,1,0,1,-28.023797523244724,,,,,,,,,,-0.5695895207802396,-0.15950386184042348,0.5095172576406226,-0.6559472214673782
