,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
716,WAVES-USD,-0.6143935420894661,2021-12-31,2024-08-06,949,100.0,38.56064579105339,-61.439354208946604,-93.65010718810763,100.0,0.0,80.96292828753279,146.0,1,0,1,-61.43935420894661,,,,,,,,,,,,,
91,BLZ-USD,-0.6159873936256681,2021-12-31,2024-08-06,949,100.0,38.40126063743319,-61.59873936256681,-41.146153155173046,100.0,0.0,72.64346215591398,116.0,1,0,1,-61.59873936256681,,,,,,,,,,,,,
739,XCH-USD,-0.61697873784089,2021-12-31,2024-08-06,949,100.0,38.302126215911,-61.697873784089,-85.23248922231869,100.0,0.0,73.36745122235394,152.0,1,0,1,-61.697873784089,,,,,,,,,,,,,
605,SNX-USD,-0.6185670755073134,2021-12-31,2024-08-06,949,100.0,38.14329244926866,-61.856707550731336,-78.5396547743985,100.0,0.0,75.70799758640271,134.0,1,0,1,-61.85670755073134,,,,,,,,,,,,,
428,MOBILE-USD,-0.6195804670439728,2023-04-20,2024-08-06,474,100.0,38.04195329560272,-61.95804670439728,215.98329211242714,100.0,0.0,81.96366048750255,142.0,1,0,1,-61.95804670439728,,,,,,,,,,,,,
622,STRK-USD,-0.6202438454778328,2021-12-31,2024-08-06,949,100.0,37.975615452216715,-62.024384547783285,-86.26360267346519,100.0,0.0,73.31592099934983,146.0,1,0,1,-62.024384547783285,,,,,,,,,,,,,
770,ZEE-USD,-0.6211253829896674,2021-12-31,2024-08-06,949,100.0,37.88746170103326,-62.11253829896673,-95.58232573005063,100.0,0.0,81.40278913917462,144.0,1,0,1,-62.11253829896674,,,,,,,,,,,,,
414,MEME-USD,-0.6298713258349978,2021-12-31,2024-08-06,949,100.0,37.012867416500214,-62.987132583499786,-55.09461122672956,100.0,0.0,82.86304876410651,156.0,1,0,1,-62.987132583499786,,,,,,,,,,,,,
509,PEL-USD,-0.6327915573724341,2021-12-31,2024-08-06,949,100.0,36.720844262756586,-63.27915573724341,-98.4893778054238,100.0,0.0,70.17392205473432,118.0,1,0,1,-63.279155737243414,,,,,,,,,,,,,
258,GEEQ-USD,-0.6338109118691649,2021-12-31,2024-08-06,949,100.0,36.61890881308351,-63.38109118691649,-95.8269884189029,100.0,0.0,82.07455164976788,120.0,1,0,1,-63.38109118691649,,,,,,,,,,,,,
534,PSL-USD,-0.6342786412708316,2021-12-31,2024-08-06,949,100.0,36.572135872916846,-63.427864127083154,-96.33805523706684,100.0,0.0,71.18997904708273,211.0,1,0,1,-63.427864127083154,,,,,,,,,,,,,
496,ORDI-USD,-0.6370854522450309,2023-05-07,2024-08-06,454,100.0,36.29145477549691,-63.70854522450309,51.2748701289224,100.0,0.0,72.94529310254283,155.0,1,0,1,-63.70854522450309,,,,,,,,,,,,,
685,UOS-USD,-0.6378515194968295,2021-12-31,2024-08-06,949,100.0,36.214848050317045,-63.78515194968295,-95.09484990982632,100.0,0.0,80.71384014837729,146.0,1,0,1,-63.785151949682955,,,,,,,,,,,,,
607,SOLVE-USD,-0.6407920462458213,2021-12-31,2024-08-06,949,100.0,35.92079537541787,-64.07920462458213,-92.70704176462559,100.0,0.0,71.82588901829509,147.0,1,0,1,-64.07920462458213,,,,,,,,,,,,,
