;Symbol;model;number_correct_entries;number_entries;percent_correct_entries;simulate_entry;simulate_return;simulate_variation;first_entry;last_entry
0;1CAT-USD;Xv_pb_10N_15d;0;5;0,0;500;768,6421733399487;0,5372843466798974;2024-07-06;2024-07-10
1;1INCH-USD;Xv_pb_10P_30d;31;48;0,6458333333333334;4800;5481,615511212647;0,1420032315026348;2024-01-01;2024-04-11
2;1INCH-USD;lr_pb_10N_30d;0;1;0,0;100;156,6525707191629;0,566525707191629;2024-02-10;2024-02-10
3;1INCH-USD;Xv_pb_10N_15d;17;58;0,29310344827586204;5800;5687,437063686568;-0,019407402812660714;2024-02-22;2024-07-10
4;1INCH-USD;Xv_pb_20N_30d;5;44;0,11363636363636363;4400;4357,384478245481;-0,00968534585329983;2024-01-01;2024-06-11
5;AA-USD;Xv_pb_10P_30d;10;50;0,2;5000;4189,924696137096;-0,16201506077258074;2024-01-01;2024-02-24
6;AA-USD;lr_pb_10N_30d;28;52;0,5384615384615384;5200;4950,12903682617;-0,04805210830265966;2024-01-01;2024-05-26
7;AA-USD;Xv_pb_10N_15d;6;57;0,10526315789473684;5700;5818,274943452664;0,020749990079414745;2024-02-22;2024-07-10
8;AA-USD;Xv_pb_20N_30d;10;29;0,3448275862068966;2900;2441,7515170232437;-0,15801671826784702;2024-01-02;2024-05-18
9;AAVE-USD;Xv_pb_10N_30d;3;9;0,3333333333333333;900;931,0821562171495;0,03453572913016614;2024-05-17;2024-07-08
10;AAVE-USD;Xv_pb_10P_30d;18;53;0,33962264150943394;5300;5374,757781054317;0,014105241708361716;2024-01-01;2024-06-06
11;AAVE-USD;lr_pb_10N_30d;0;1;0,0;100;155,0502498632761;0,5505024986327609;2024-02-10;2024-02-10
12;AAVE-USD;Xv_pb_10N_15d;18;151;0,11920529801324503;15100;15761,499334620155;0,04380790295497718;2024-01-12;2024-07-10
13;AAVE-USD;Xv_pb_20N_30d;28;139;0,2014388489208633;13900;14138,985426419262;0,017193196145270633;2024-01-01;2024-07-10
14;ABBC-USD;Xv_pb_10P_30d;0;21;0,0;2100;1372,5834702466386;-0,34638882369207685;2024-01-01;2024-01-22
15;ABBC-USD;lr_pb_10N_30d;0;2;0,0;200;194,24758370852226;-0,02876208145738872;2024-02-10;2024-02-11
16;ABBC-USD;Xv_pb_10N_15d;37;60;0,6166666666666667;6000;5242,570576842674;-0,12623823719288763;2024-01-27;2024-07-06
17;ACH-USD;Xv_pb_10P_30d;9;24;0,375;2400;2745,018800347956;0,14375783347831506;2024-01-01;2024-04-11
18;ACH-USD;Xv_pb_10N_15d;20;64;0,3125;6400;6327,604661045815;-0,011311771711591376;2024-01-21;2024-07-08
19;ACH-USD;Xv_pb_20N_30d;0;17;0,0;1700;1763,0644677521354;0,03709674573655026;2024-01-02;2024-06-15
20;ACQ-USD;Xv_pb_10P_30d;0;5;0,0;500;246,7594428249409;-0,5064811143501182;2024-04-06;2024-04-11
