;Symbol;model;number_correct_entries;number_entries;percent_correct_entries;simulate_entry;simulate_return;simulate_variation;first_entry;last_entry
0;1CAT-USD;Xv_pb_10N_15d;0;5;0,0;500;768,6421733399487;0,5372843466798974;2024-07-06;2024-07-10
1;1INCH-USD;Xv_pb_10P_30d;34;57;0,5964912280701754;5700;6384,484025081113;0,12008491668089702;2024-01-01;2024-04-11
2;1INCH-USD;Xv_pb_20N_30d;8;53;0,1509433962264151;5300;5139,83177211127;-0,03022042035636418;2024-01-01;2024-06-17
3;1INCH-USD;Xv_pb_10N_15d;22;95;0,23157894736842105;9500;9600,851114501223;0,010615906789602473;2024-01-21;2024-07-10
4;1INCH-USD;lr_pb_10N_30d;1;5;0,2;500;651,8917247889649;0,3037834495779298;2024-01-06;2024-02-11
5;AA-USD;Xv_pb_10P_30d;14;57;0,24561403508771928;5700;5226,501383896847;-0,08306993264967595;2024-01-01;2024-05-08
6;AA-USD;Xv_pb_20N_30d;17;46;0,3695652173913043;4600;4167,652846209409;-0,09398851169360668;2024-01-02;2024-06-17
7;AA-USD;Xv_pb_10N_15d;9;77;0,11688311688311688;7700;7977,702017828731;0,03606519712061444;2024-01-21;2024-07-10
8;AA-USD;lr_pb_10N_30d;39;78;0,5;7800;7357,46608207855;-0,05673511768223715;2024-01-01;2024-06-06
9;AAVE-USD;Xv_pb_10P_30d;32;88;0,36363636363636365;8800;9227,984173023728;0,048634565116332684;2024-01-01;2024-06-06
10;AAVE-USD;Xv_pb_10N_30d;5;23;0,21739130434782608;2300;2460,6850848891618;0,06986308038659207;2024-05-11;2024-07-10
11;AAVE-USD;Xv_pb_15N_30d;6;8;0,75;800;622,4412381698273;-0,22194845228771584;2024-03-23;2024-06-08
12;AAVE-USD;Xv_pb_20N_30d;31;151;0,2052980132450331;15100;15419,698515857206;0,02117208714286133;2024-01-01;2024-07-10
13;AAVE-USD;Xv_pb_10N_15d;31;169;0,1834319526627219;16900;17306,2201598537;0,024036695849331328;2024-01-06;2024-07-10
14;AAVE-USD;lr_pb_10N_30d;7;16;0,4375;1600;1809,2102556983743;0,13075640981148395;2024-01-01;2024-02-10
15;ABBC-USD;Xv_pb_10P_30d;0;25;0,0;2500;1723,5274909169518;-0,3105890036332193;2024-01-01;2024-05-23
16;ABBC-USD;Xv_pb_10N_15d;47;88;0,5340909090909091;8800;7800,129333079047;-0,11362166669556287;2024-01-23;2024-07-06
17;ABBC-USD;lr_pb_10N_30d;6;14;0,42857142857142855;1400;1103,8337362793727;-0,2115473312290195;2024-01-01;2024-03-19
18;ACH-USD;Xv_pb_10P_30d;14;34;0,4117647058823529;3400;4091,4840177771493;0,20337765228739688;2024-01-01;2024-04-12
19;ACH-USD;Xv_pb_20N_30d;2;42;0,047619047619047616;4200;4111,851054338548;-0,02098784420510756;2024-01-02;2024-06-17
20;ACH-USD;Xv_pb_10N_15d;28;100;0,28;10000;10079,21858881809;0,00792185888180902;2024-01-20;2024-07-10
21;ACH-USD;lr_pb_10N_30d;1;1;1,0;100;73,90268639139504;-0,26097313608604966;2024-05-18;2024-05-18
22;ACQ-USD;Xv_pb_10P_30d;0;10;0,0;1000;563,5296028561934;-0,43647039714380664;2024-03-21;2024-04-25
23;ACQ-USD;Xv_pb_20N_30d;9;11;0,8181818181818182;1100;777,7469773422636;-0,2929572933252149;2024-04-11;2024-05-06
24;ACQ-USD;Xv_pb_10N_15d;16;28;0,5714285714285714;2800;2312,92000491725;-0,17395714110098212;2024-01-26;2024-05-06
25;ACQ-USD;lr_pb_10N_30d;2;2;1,0;200;161,209561226215;-0,19395219386892507;2024-01-11;2024-03-21
26;ADA-USD;Xv_pb_10P_30d;26;69;0,37681159420289856;6900;7159,914492261408;0,037668766994406924;2024-01-01;2024-04-05
27;ADA-USD;Xv_pb_10N_30d;0;2;0,0;200;191,77227326638024;-0,041138633668098806;2024-01-05;2024-04-12
28;ADA-USD;Xv_pb_20N_30d;2;54;0,037037037037037035;5400;5850,951481985384;0,08350953370099702;2024-01-01;2024-05-11
29;ADA-USD;Xv_pb_10N_15d;11;95;0,11578947368421053;9500;9431,02558168337;-0,007260465085960995;2024-01-21;2024-07-10
30;ADA-USD;lr_pb_10N_30d;2;3;0,6666666666666666;300;306,40501573625954;0,021350052454198475;2024-01-01;2024-06-07
31;ADS-USD;Xv_pb_10P_30d;0;20;0,0;2000;1661,3778636567372;-0,1693110681716314;2024-03-08;2024-04-04
32;ADS-USD;Xv_pb_10N_15d;1;9;0,1111111111111111;900;897,1011716279097;-0,0032209204134336588;2024-03-16;2024-03-25
33;ADS-USD;lr_pb_10N_30d;1;1;1,0;100;87,55158959934724;-0,12448410400652761;2024-03-13;2024-03-13
34;ADX-USD;Xv_pb_10P_30d;16;36;0,4444444444444444;3600;3745,460192701506;0,04040560908375167;2024-01-01;2024-04-11
35;ADX-USD;Xv_pb_10N_30d;0;1;0,0;100;98,88694444555365;-0,011130555544463476;2024-04-23;2024-04-23
36;ADX-USD;Xv_pb_20N_30d;1;50;0,02;5000;4990,207746177367;-0,0019584507645266057;2024-01-02;2024-07-01
37;ADX-USD;Xv_pb_10N_15d;23;112;0,20535714285714285;11200;11251,474655774478;0,004595951408435569;2024-01-19;2024-07-10
38;ADX-USD;lr_pb_10N_30d;25;55;0,45454545454545453;5500;5599,003355866198;0,018000610157490552;2024-01-01;2024-06-10
39;AERGO-USD;Xv_pb_10P_30d;4;14;0,2857142857142857;1400;1249,3149884500272;-0,10763215110712346;2024-01-01;2024-04-11
40;AERGO-USD;Xv_pb_10N_30d;1;2;0,5;200;183,8320773000504;-0,080839613499748;2024-04-23;2024-04-24
41;AERGO-USD;Xv_pb_20N_30d;12;34;0,35294117647058826;3400;3143,426580967193;-0,0754627703037668;2024-01-02;2024-05-11
42;AERGO-USD;Xv_pb_10N_15d;16;112;0,14285714285714285;11200;11337,93996048048;0,012316067900042884;2024-01-17;2024-07-10
43;AERGO-USD;lr_pb_10N_30d;1;5;0,2;500;559,1285410871974;0,11825708217439478;2024-01-11;2024-05-18
44;AGLD-USD;Xv_pb_10P_30d;34;121;0,2809917355371901;12100;11549,07457390101;-0,045531026950329685;2024-01-01;2024-06-21
45;AGLD-USD;Xv_pb_10N_30d;1;12;0,08333333333333333;1200;1137,823453898086;-0,05181378841826169;2024-01-03;2024-06-21
46;AGLD-USD;Xv_pb_20N_30d;23;93;0,24731182795698925;9300;8979,868867110054;-0,034422702461284566;2024-01-01;2024-07-10
47;AGLD-USD;Xv_pb_10N_15d;28;93;0,3010752688172043;9300;9616,524970662176;0,03403494308195443;2024-01-21;2024-07-10
48;AGLD-USD;lr_pb_10N_30d;1;23;0,043478260869565216;2300;2676,098628442927;0,16352114280127253;2024-01-01;2024-02-14
49;AI-USD;Xv_pb_10P_30d;0;1;0,0;100;108,3808951009428;0,08380895100942794;2024-01-03;2024-01-03
50;AI-USD;Xv_pb_20N_30d;0;1;0,0;100;108,3808951009428;0,08380895100942794;2024-01-03;2024-01-03
51;AIEPK-USD;Xv_pb_10P_30d;0;10;0,0;1000;787,8728360162113;-0,2121271639837887;2024-02-29;2024-04-11
52;AIEPK-USD;Xv_pb_20N_30d;3;5;0,6;500;365,93422388575294;-0,2681315522284941;2024-04-02;2024-04-11
53;AIEPK-USD;Xv_pb_10N_15d;20;26;0,7692307692307693;2600;2009,6664604673879;-0,22705136135869697;2024-03-04;2024-05-05
54;AIOZ-USD;Xv_pb_10P_30d;27;96;0,28125;9600;11227,964848597738;0,16957967172893101;2024-01-01;2024-06-08
55;AIOZ-USD;Xv_pb_20N_30d;25;101;0,24752475247524752;10100;10926,375764948996;0,08181938266821745;2024-01-01;2024-07-08
56;AIOZ-USD;Xv_pb_10N_15d;20;64;0,3125;6400;7643,588107298608;0,19431064176540744;2024-01-21;2024-07-10
57;AIOZ-USD;lr_pb_10N_30d;6;27;0,2222222222222222;2700;4453,31373416;0,6493754570962964;2024-01-03;2024-06-11
58;AIPAD-USD;Xv_pb_10P_30d;18;43;0,4186046511627907;4300;4698,456927674569;0,09266440178478343;2024-01-01;2024-05-23
59;AIPAD-USD;Xv_pb_10N_30d;0;1;0,0;100;93,70160663249271;-0,06298393367507288;2024-01-05;2024-01-05
60;AIPAD-USD;Xv_pb_20N_30d;2;4;0,5;400;328,93889798718124;-0,17765275503204692;2024-04-03;2024-04-15
61;AIPAD-USD;Xv_pb_10N_15d;40;83;0,4819277108433735;8300;7616,024919927256;-0,08240663615334268;2024-01-21;2024-07-10
62;AIPAD-USD;lr_pb_10N_30d;4;7;0,5714285714285714;700;668,0051277540265;-0,04570696035139073;2024-02-06;2024-03-15
63;AITECH-USD;Xv_pb_10P_30d;0;15;0,0;1500;1234,605456300823;-0,17692969579945125;2024-04-04;2024-05-23
64;AITECH-USD;Xv_pb_20N_30d;17;33;0,5151515151515151;3300;2614,1351338898135;-0,20783783821520804;2024-04-02;2024-07-05
65;AITECH-USD;Xv_pb_10N_15d;46;77;0,5974025974025974;7700;6784,061353960363;-0,1189530709142386;2024-03-20;2024-07-10
66;AKRO-USD;Xv_pb_10P_30d;5;26;0,19230769230769232;2600;2583,4283277082923;-0,00637372011219528;2024-02-11;2024-05-23
67;AKRO-USD;Xv_pb_20N_30d;2;33;0,06060606060606061;3300;3129,0406686897354;-0,05180585797280745;2024-04-02;2024-06-17
68;AKRO-USD;Xv_pb_10N_15d;11;72;0,1527777777777778;7200;7455,291675852951;0,03545717720179874;2024-01-18;2024-07-10
69;AKRO-USD;lr_pb_10N_30d;4;20;0,2;2000;2476,2350633414862;0,23811753167074312;2024-01-29;2024-06-28
70;AKT-USD;Xv_pb_10P_30d;45;98;0,45918367346938777;9800;11040,34544808436;0,1265658620494244;2024-01-01;2024-06-06
71;AKT-USD;Xv_pb_10N_30d;1;14;0,07142857142857142;1400;1761,6741282542253;0,2583386630387323;2024-01-05;2024-06-14
72;AKT-USD;Xv_pb_15N_30d;18;28;0,6428571428571429;2800;2273,891203544817;-0,18789599873399393;2024-02-19;2024-06-04
73;AKT-USD;Xv_pb_20N_30d;26;107;0,24299065420560748;10700;12296,584601633855;0,14921351417138828;2024-01-01;2024-07-09
