,Symbol,Date,Close,rf_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_7d,rf_pb_10P_15d,rf_pb_10P_30d,rf_pb_10P_7d,rf_pb_15N_15d,rf_pb_15N_30d,rf_pb_15N_7d,rf_pb_15P_15d,rf_pb_15P_30d,rf_pb_15P_7d,rf_pb_20N_15d,rf_pb_20N_30d,rf_pb_20N_7d,rf_pb_20P_15d,rf_pb_20P_30d,rf_pb_20P_7d,rf_pb_25N_15d,rf_pb_25N_30d,rf_pb_25N_7d,rf_pb_25P_15d,rf_pb_25P_30d,rf_pb_25P_7d,Xv_pb_10N_15d,Xv_pb_10N_30d,Xv_pb_10N_7d,Xv_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_10P_7d,Xv_pb_15N_15d,Xv_pb_15N_30d,Xv_pb_15N_7d,Xv_pb_15P_15d,Xv_pb_15P_30d,Xv_pb_15P_7d,Xv_pb_20N_15d,Xv_pb_20N_30d,Xv_pb_20N_7d,Xv_pb_20P_15d,Xv_pb_20P_30d,Xv_pb_20P_7d,Xv_pb_25N_15d,Xv_pb_25N_30d,Xv_pb_25N_7d,Xv_pb_25P_15d,Xv_pb_25P_30d,Xv_pb_25P_7d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
2376,BTC-USD,2024-07-03,56977.703125,0.27,0.27,0.4,0.57,0.73,0.64,0.24,0.24,0.58,0.67,0.63,0.62,0.39,0.32,0.52,0.67,0.66,0.72,0.53,0.42,0.61,0.6,0.76,0.55,0.4606632,0.028417083,0.43605718,0.78676003,0.6748533,0.9830655,0.8167392,0.1119878,0.3650328,0.9821739,0.98444647,0.8431107,0.75773907,0.4915139,0.87230796,0.70000327,0.31030196,0.9916939,0.7837596,0.7635614,0.8027828,0.22770254,0.080912486,0.7229228,0.3785187256695745,0.3855691867319338,0.42350737062068744,0.1992130823384064,0.30662585706054263,0.30879476842315634
6290,SOL-USD,2024-07-03,127.55081939697266,0.24,0.29,0.42,0.61,0.68,0.6,0.22,0.26,0.54,0.68,0.56,0.56,0.41,0.33,0.53,0.7,0.67,0.67,0.49,0.4,0.55,0.63,0.7,0.58,0.16766773,0.026444683,0.1274703,0.8393752,0.8089352,0.95216554,0.6472582,0.10770763,0.67653024,0.989033,0.9625276,0.714576,0.7248361,0.6220397,0.74117416,0.7615788,0.39020023,0.99308336,0.806246,0.80506605,0.56320757,0.45640257,0.2352615,0.88141173,0.392156018212506,0.4191961567919562,0.414389302435322,0.21384832276069787,0.2672067312644384,0.2803903598416764
4753,ETH-USD,2024-07-03,3054.52197265625,0.24,0.25,0.43,0.6,0.69,0.62,0.23,0.26,0.54,0.7,0.57,0.62,0.33,0.31,0.47,0.7,0.68,0.7,0.44,0.41,0.52,0.67,0.72,0.6,0.023292368,0.025616862,0.09803909,0.8393752,0.7200982,0.9431104,0.3875788,0.10770763,0.5676435,0.98645717,0.9672732,0.87595093,0.4500264,0.6220397,0.50341403,0.760664,0.39020023,0.9953414,0.6792912,0.82432175,0.56320757,0.45640257,0.25608358,0.8843704,0.3911450483623489,0.4226258513894485,0.4343676554593406,0.21134056268611578,0.20043903926320847,0.24975166409418653
