,Symbol,Date,Close,lr_pb_10N_15d,lr_pb_10N_30d,lr_pb_10N_7d,lr_pb_10P_15d,lr_pb_10P_30d,lr_pb_10P_7d,lr_pb_15N_15d,lr_pb_15N_30d,lr_pb_15N_7d,lr_pb_15P_15d,lr_pb_15P_30d,lr_pb_15P_7d,lr_pb_20N_15d,lr_pb_20N_30d,lr_pb_20N_7d,lr_pb_20P_15d,lr_pb_20P_30d,lr_pb_20P_7d,lr_pb_25N_15d,lr_pb_25N_30d,lr_pb_25N_7d,lr_pb_25P_15d,lr_pb_25P_30d,lr_pb_25P_7d,rf_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_7d,rf_pb_10P_15d,rf_pb_10P_30d,rf_pb_10P_7d,rf_pb_15N_15d,rf_pb_15N_30d,rf_pb_15N_7d,rf_pb_15P_15d,rf_pb_15P_30d,rf_pb_15P_7d,rf_pb_20N_15d,rf_pb_20N_30d,rf_pb_20N_7d,rf_pb_20P_15d,rf_pb_20P_30d,rf_pb_20P_7d,rf_pb_25N_15d,rf_pb_25N_30d,rf_pb_25N_7d,rf_pb_25P_15d,rf_pb_25P_30d,rf_pb_25P_7d,Xv_pb_10N_15d,Xv_pb_10N_30d,Xv_pb_10N_7d,Xv_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_10P_7d,Xv_pb_15N_15d,Xv_pb_15N_30d,Xv_pb_15N_7d,Xv_pb_15P_15d,Xv_pb_15P_30d,Xv_pb_15P_7d,Xv_pb_20N_15d,Xv_pb_20N_30d,Xv_pb_20N_7d,Xv_pb_20P_15d,Xv_pb_20P_30d,Xv_pb_20P_7d,Xv_pb_25N_15d,Xv_pb_25N_30d,Xv_pb_25N_7d,Xv_pb_25P_15d,Xv_pb_25P_30d,Xv_pb_25P_7d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
4813,ETH-USD,2024-08-02,2916.49755859375,0.8713901485949449,0.474215880547106,0.578444041376696,0.40356314930703757,0.6933715219660537,0.6756581382636837,0.8396642340639298,0.789746937726216,0.8012702908928053,0.324838831979838,0.6300813949133982,0.5772988167773212,0.9462144604653366,0.8301326255290239,0.8437014892289447,0.44787392383235364,0.6529819799593432,0.41166600155012245,0.8984351808913342,0.911265922996121,0.8417087503707128,0.31782918922849634,0.5644216752961969,0.429221829353383,0.31,0.29,0.39,0.57,0.76,0.65,0.28,0.19,0.63,0.67,0.73,0.67,0.51,0.28,0.61,0.65,0.76,0.78,0.66,0.45,0.77,0.68,0.77,0.7,0.36134624,0.19659975,0.49325544,0.32178482,0.4277986,0.99535394,0.83787346,0.014590289,0.871887,0.9376393,0.9393163,0.8499117,0.6360298,0.8115462,0.88220644,0.92108333,0.6319002,0.9916857,0.9884015,0.86635,0.97647846,0.9107808,0.5242931,0.65472376,0.6796385214375188,0.6190840290975386,0.7108526962090329,0.4701979691844273,0.6564274136214672,0.7149017118175491
6390,SOL-USD,2024-08-02,142.79551696777344,0.1717370493658523,0.09276674216666707,0.07791355620431276,0.4945767163018731,0.9156221342618014,0.8375294832831047,0.12186437454692829,0.30445347522760474,0.3189878339691264,0.4453697517021638,0.8657416017809446,0.6888263068083765,0.4238744389465708,0.19012303288238336,0.14704365241209047,0.685416063302771,0.8111023701529378,0.5782124429261122,0.48163425738273835,0.39611771704604737,0.17523466092025955,0.8737962004385728,0.8053193720193578,0.8160485482789318,0.26,0.3,0.38,0.58,0.73,0.62,0.13,0.25,0.53,0.67,0.71,0.59,0.31,0.27,0.34,0.63,0.74,0.66,0.41,0.34,0.38,0.69,0.74,0.72,0.07902362,0.097636074,0.29262197,0.5075688,0.3702402,0.9958703,0.23043106,0.003402664,0.75141966,0.9645532,0.9474199,0.91060394,0.18966623,0.32297683,0.11201647,0.9393457,0.96372706,0.98158425,0.78222823,0.3769927,0.74612355,0.9590941,0.8426745,0.8961412,0.7775619122340376,0.7112546021699111,0.7753145111951194,0.24422200957968734,0.2995121792294096,0.36450804526435077
2406,BTC-USD,2024-08-02,60684.87109375,0.15963559755036008,0.34397018732126405,0.09588484586477772,0.45660955913208046,0.31011750418303324,0.22991857430759613,0.14121158344709847,0.21009063108844625,0.10283979028599827,0.3652067350557673,0.4553455177110494,0.1453475652555645,0.05077348102287599,0.3055825054994987,0.056910572844456477,0.32235651762554773,0.3181202320922774,0.08968077349139915,0.05299780084599015,0.13737696162958693,0.0054620349671541816,0.1636486470262953,0.5465353005867489,0.053888549213786836,0.23,0.24,0.36,0.6,0.8,0.66,0.12,0.21,0.59,0.72,0.86,0.59,0.32,0.27,0.38,0.68,0.79,0.73,0.35,0.32,0.38,0.75,0.83,0.77,0.035856925,0.0315565,0.24141397,0.9022104,0.49575666,0.99428916,0.37354663,0.0038961768,0.9235051,0.9656435,0.96836144,0.96120566,0.13656189,0.33667094,0.079673626,0.957746,0.98430264,0.99550205,0.17962152,0.2984239,0.6343868,0.9781472,0.9606511,0.9517277,0.7345309216282366,0.6878507115673959,0.6290434185259185,0.22177941764334747,0.18708007314824618,0.33678024522117644
