,Symbol,Date,Close,rf_pb_15P_30d,all_buy_signal,final_buy_signal,sell_signal
0,AAVE-USD,2020-10-01,0.5165709853172302,0.0,0,0,0
1,AAVE-USD,2020-10-02,0.5165709853172302,0.0,0,0,0
2,AAVE-USD,2020-10-03,52.67503356933594,0.0,0,0,0
3,AAVE-USD,2020-10-04,53.219242095947266,0.0,0,0,0
4,AAVE-USD,2020-10-05,42.4015998840332,0.0,0,0,0
5,AAVE-USD,2020-10-06,40.08397674560547,0.0,0,0,0
6,AAVE-USD,2020-10-07,43.764461517333984,0.0,0,0,0
7,AAVE-USD,2020-10-08,46.817745208740234,0.0,0,0,0
8,AAVE-USD,2020-10-09,49.13371658325195,0.0,0,0,0
9,AAVE-USD,2020-10-10,49.66072463989258,0.0,0,0,0
10,AAVE-USD,2020-10-11,52.23869323730469,0.0,0,0,0
11,AAVE-USD,2020-10-12,51.12431716918945,0.0,0,0,0
12,AAVE-USD,2020-10-13,51.3165168762207,0.0,0,0,0
13,AAVE-USD,2020-10-14,44.01918411254883,0.0,0,0,0
14,AAVE-USD,2020-10-15,39.495845794677734,0.0,0,0,0
15,AAVE-USD,2020-10-16,41.36699295043945,0.0,0,0,0
16,AAVE-USD,2020-10-17,40.746971130371094,0.0,0,0,0
17,AAVE-USD,2020-10-18,36.0123176574707,0.0,0,0,0
18,AAVE-USD,2020-10-19,32.180015563964844,0.0,0,0,0
19,AAVE-USD,2020-10-20,35.16035842895508,0.0,0,0,0
20,AAVE-USD,2020-10-21,38.03165054321289,0.0,0,0,0
21,AAVE-USD,2020-10-22,41.68663787841797,0.0,0,0,0
22,AAVE-USD,2020-10-23,39.455020904541016,0.0,0,0,0
23,AAVE-USD,2020-10-24,37.904762268066406,0.0,0,0,0
24,AAVE-USD,2020-10-25,36.03392028808594,0.0,0,0,0
25,AAVE-USD,2020-10-26,34.87153244018555,0.0,0,0,0
26,AAVE-USD,2020-10-27,32.394081115722656,0.0,0,0,0
27,AAVE-USD,2020-10-28,29.09833335876465,0.0,0,0,0
28,AAVE-USD,2020-10-29,31.217823028564453,0.0,0,0,0
29,AAVE-USD,2020-10-30,29.707517623901367,0.0,0,0,0
30,AAVE-USD,2020-10-31,30.657276153564453,0.0,0,0,0
31,AAVE-USD,2020-11-01,29.731523513793945,0.0,0,0,0
32,AAVE-USD,2020-11-02,28.042802810668945,0.0,0,0,0
33,AAVE-USD,2020-11-03,27.715084075927734,0.0,0,0,0
34,AAVE-USD,2020-11-04,30.95562744140625,0.0,0,0,0
35,AAVE-USD,2020-11-05,38.45743942260742,0.0,0,0,0
36,AAVE-USD,2020-11-06,44.60490036010742,0.0,0,0,0
37,AAVE-USD,2020-11-07,53.7493782043457,0.0,0,0,0
38,AAVE-USD,2020-11-08,54.88650131225586,0.0,0,0,0
39,AAVE-USD,2020-11-09,67.00111389160156,0.0,0,0,0
40,AAVE-USD,2020-11-10,54.69964599609375,0.0,0,0,0
41,AAVE-USD,2020-11-11,51.63241958618164,0.0,0,0,0
42,AAVE-USD,2020-11-12,63.399070739746094,0.0,0,0,0
43,AAVE-USD,2020-11-13,67.01611328125,0.0,0,0,0
44,AAVE-USD,2020-11-14,64.23729705810547,0.0,0,0,0
45,AAVE-USD,2020-11-15,71.76639556884766,0.0,0,0,0
46,AAVE-USD,2020-11-16,78.44328308105469,0.0,0,0,0
47,AAVE-USD,2020-11-17,75.2322769165039,0.0,0,0,0
48,AAVE-USD,2020-11-18,75.85718536376953,0.0,0,0,0
49,AAVE-USD,2020-11-19,75.06539916992188,0.0,0,0,0
50,AAVE-USD,2020-11-20,70.42424774169922,0.0,0,0,0
51,AAVE-USD,2020-11-21,68.4247817993164,0.0,0,0,0
52,AAVE-USD,2020-11-22,71.83861541748047,0.0,0,0,0
53,AAVE-USD,2020-11-23,66.73867797851562,0.0,0,0,0
54,AAVE-USD,2020-11-24,61.80533981323242,0.0,0,0,0
55,AAVE-USD,2020-11-25,63.99345016479492,0.0,0,0,0
56,AAVE-USD,2020-11-26,60.73871994018555,0.0,0,0,0
57,AAVE-USD,2020-11-27,63.947288513183594,0.0,0,0,0
58,AAVE-USD,2020-11-28,68.8531265258789,0.0,0,0,0
