,Symbol,Date,Close,rf_pb_20P_30d,lr_pb_10N_30d,Xv_pb_20N_30d,rf_pb_10P_30d,rf_pb_15N_15d,rf_pb_15N_30d,Xv_pb_10N_15d,lr_pb_10N_15d,rf_pb_10N_30d,Xv_pb_10N_30d,rf_pb_20N_30d,rf_pb_10P_15d,lr_pb_10P_30d,Xv_pb_15N_30d,rf_pb_15P_30d,Xv_pb_10P_30d,rf_pb_10N_15d,rf_pb_25N_30d,lr_pb_15N_30d,Xv_pb_15P_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
18424,ATOM-USD,2024-08-05,4.915388584136963,0.37085639553944494,0.8720287672605064,0.44674572,0.42203985686799794,0.6029871672445201,0.5747333005748317,0.89772594,0.771883429923466,0.49454260445436915,0.84839886,0.47155523101955993,0.3684547214934098,0.1577976434327952,0.8580673,0.46441787510402316,0.03105739,0.545644822769823,0.5937955219895676,0.8383677452475093,0.3923053,0.3103320951522065,0.3684547214934098,0,0.6665739560809091,0.6984338769787479,0
16360,ARKM-USD,2024-08-05,1.002243161201477,0.46058193633851546,0.7859849850392004,0.48413908,0.47516036546568047,0.5826884276155561,0.5661031130705042,0.4701251,0.7397735793379665,0.4798552512302514,0.7717219,0.5063798520450995,0.3852317386491855,0.31887504421614005,0.88342583,0.42623175354057713,0.06825844,0.5007757225483129,0.5296980307274424,0.7440692172093372,0.2613553,0.3376989520164181,0.3852317386491855,0,0.6392400318466445,0.5672010441992585,0
13964,APE-USD,2024-08-05,0.5807734727859497,0.4083607364857365,0.8269917702688979,0.7697033,0.4318121316158341,0.5542222904394399,0.5734547086900028,0.6948099,0.6478791500629679,0.48329616217116206,0.9308341,0.5299602635926164,0.3743755704305864,0.3296917448943989,0.9679441,0.46227300477300487,0.0796075,0.485051865345983,0.5376671014586689,0.8116809961304903,0.09846307,0.305480125384993,0.3743755704305864,0,0.710920490521928,0.5906445507110748,0
7521,AIPAD-USD,2024-08-05,0.05646132305264473,0.41418255235103074,0.2509743898850435,0.64043665,0.39115454684204676,0.5868482004107005,0.623003066768412,0.62980705,0.5750040399807086,0.6014956840311525,0.97801524,0.5898296148296147,0.33603745005517055,0.8747688074645874,0.96846515,0.3443000638947292,0.008660636,0.564127219002219,0.5978268647846818,0.1949394030418891,0.07168348,0.34163540675364146,0.33603745005517055,0,0.6141197281855842,0.5881950517546485,0
18827,AUCTION-USD,2024-08-05,13.82966423034668,0.3567987627491294,0.6179440728079872,0.716849,0.4002796651877534,0.6032678016428017,0.6044545143968518,0.5996654,0.6066041955100532,0.5076010144825934,0.60897815,0.585218686542216,0.3645244611692715,0.3166211874098696,0.7742476,0.4331884394081048,0.07593407,0.5382504116254117,0.544353496649549,0.5220354654610482,0.28677657,0.31307642755526754,0.3645244611692715,0,0.606597546749019,0.5842955298154237,0
14367,API3-USD,2024-08-05,1.385164737701416,0.4464785813601604,0.9007476880714006,0.54754865,0.4682267293989048,0.5876256013984594,0.546256242545142,0.47050968,0.8088570594652558,0.4811041828541829,0.92921025,0.5049688339696078,0.4163202186658378,0.2046770900270491,0.88907677,0.4780837307582054,0.08087636,0.4942867984412102,0.5536539012458128,0.8596901018766524,0.21215534,0.3208856539375443,0.4163202186658378,0,0.6893053547118912,0.5824763911192035,0
17215,ARX-USD,2024-08-05,0.0009736863430589437,0.49714356476856486,0.2729632590472284,0.8354214,0.4861673556656433,0.6131406431760534,0.5706515910560026,0.6141924,0.5508164061192,0.5470801766717667,0.928839,0.43520787227907975,0.43143433301249495,0.9073156258508245,0.9383687,0.4191166895196307,0.008310955,0.5519454301145479,0.5630969406897851,0.2348393324535211,0.02612283,0.38362351147579593,0.43143433301249495,0,0.5954895605704926,0.5813023119570561,0
11889,AMP-USD,2024-08-05,0.0034192504826933146,0.29417261784109616,0.5490617620154365,0.8354214,0.3388524877899877,0.6076801739926743,0.6164012519165971,0.68166804,0.5792692847296026,0.5773953748280749,0.9800888,0.5584539627039627,0.36350079226851273,0.37334228447481094,0.94842803,0.2064874182070835,0.010111384,0.47077167177167184,0.616713538783198,0.45614937161904673,0.026547905,0.20824177934711166,0.36350079226851273,0,0.6836579925130297,0.579810941786813,0
1032,AA-USD,2024-08-05,0.44040533900260925,0.4384362051347346,0.8539828658978027,0.5405236,0.4300238489460244,0.5766999352771413,0.5368220806970807,0.5428785,0.7294798664647693,0.5177492646242647,0.9466726,0.5123309718317457,0.42405951640513545,0.19526287672582462,0.88937575,0.4076418586539742,0.098952755,0.4878759177555617,0.5762775309328753,0.8157496736393429,0.12837423,0.28867299853782036,0.42405951640513545,0,0.6880640374124273,0.5777604809261943,0
19832,AURY-USD,2024-08-05,0.2818875312805176,0.42163298149198947,0.7994879346947779,0.37541327,0.41325763003336524,0.5705539929841402,0.5433943507472919,0.5219343,0.6966769530865753,0.5225976784910996,0.9502322,0.5548346861471861,0.36375362466252065,0.25319527556128546,0.91352355,0.3875206072402726,0.06469081,0.5311267777767776,0.5568956252725601,0.7292508994905216,0.05927357,0.2710830938772282,0.36375362466252065,0,0.6654000022444228,0.576118420856606,0
2644,ACQ-USD,2024-08-05,0.006839332636445761,0.3511340175524959,0.5803036935989526,0.7229472,0.37262685231435233,0.6085226370851373,0.6042472115125567,0.58121485,0.6103884041470106,0.5381254274551863,0.97919786,0.556989617838302,0.3911860247787444,0.541698265709353,0.90234363,0.2660460262656915,0.009116613,0.5100714866626632,0.6171144711841303,0.48806623016388734,0.026547905,0.2586361642364611,0.3911860247787444,0,0.6674770327359889,0.5736363389447212,0
1838,ABBC-USD,2024-08-05,0.006337006576359272,0.3304012503197287,0.6747346125051035,0.7229472,0.37323038766788763,0.5984439935064936,0.593619505884851,0.58121485,0.6487742346148914,0.5571681021008021,0.97122663,0.5594010952497794,0.3432528935775448,0.3410094454451834,0.90234363,0.2381669053865707,0.009116613,0.48142761305261317,0.6023800082786149,0.57617848538569,0.026547905,0.22116833019025986,0.3432528935775448,0,0.6859844333225519,0.5718444891135543,0
7859,AITECH-USD,2024-08-05,0.09183376282453537,0.4473659257409258,0.8324801585456566,0.5272881,0.44314851201015154,0.5757282195144038,0.5852969126284344,0.4017187,0.8006189297571139,0.47219394494394495,0.7842227,0.47930774359799116,0.37047447857548216,0.43725766594204746,0.92444175,0.4450990000711363,0.008786228,0.4967150831962649,0.4806951202879648,0.7883500971765878,0.017477669,0.301738551621643,0.37047447857548216,0,0.6528887970465923,0.5614541060572373,0
10680,ALPHA-USD,2024-08-05,0.05049649998545647,0.43684027777777784,0.929548615715362,0.6583797,0.4134153063864201,0.6180251246302716,0.5726915735230955,0.66749823,0.8302338251276226,0.5627287878787882,0.971823,0.49538922730176566,0.36106017410575,0.17473284712170362,0.9760532,0.46074204722006584,0.0094476715,0.609153541447659,0.5773973347401792,0.9035921081133865,0.01935555,0.25895287645063836,0.36106017410575,0,0.7378754456355927,0.6766284244666918,0
15977,ARKER-USD,2024-08-05,0.0003474144032225013,0.3781790782582555,0.696708735976163,0.834431,0.2801508005883006,0.5998482559107561,0.50260085665968,0.5280161,0.6446674855938714,0.4602540774000128,0.9806238,0.4677876623720279,0.3790795312722509,0.3624744567740338,0.8891345,0.23749491071457596,0.008310955,0.45029951149068803,0.5989654622982794,0.6084921010990851,0.019310586,0.21259297357926638,0.3790795312722509,0,0.6667681513220507,0.5489964313351061,0
4812,AERGO-USD,2024-08-05,0.08101444691419601,0.43400782518694186,0.8202778878499584,0.5592719,0.4286460243188184,0.554309738872239,0.5675178852832307,0.35552686,0.7722629301006059,0.548939583054386,0.9651554,0.6148544527368056,0.3431234987112573,0.3493526843345828,0.9494096,0.29458166273067576,0.012119325,0.5186576984434128,0.5620806358674004,0.7397020351032232,0.012859831,0.25761416659070246,0.3431234987112573,0,0.7053593824844757,0.5448577974666782,0
12715,ANALOS-USD,2024-08-05,3.45985681633465e-05,0.4774441971427267,0.8373798565945323,0.834431,0.39015593652922415,0.46733679351694063,0.43949550608490234,0.57544523,0.7299589146249499,0.3901003999125782,0.9751475,0.3574168574115943,0.3649426588048362,0.20797435865436303,0.91411835,0.36999354186844835,0.008310955,0.42098860915772673,0.47992480726765174,0.7838289366352673,0.019310586,0.24979425317018356,0.3649426588048362,0,0.6615616019177764,0.541245542449882,0
