,Symbol,Date,Close,Xv_pb_10N_30d,lr_pb_10P_30d,rf_pb_20P_30d,rf_pb_15P_30d,rf_pb_15N_30d,Xv_pb_15P_30d,rf_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_15N_30d,lr_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_15d,Xv_pb_20N_30d,lr_pb_10N_30d,rf_pb_25N_30d,lr_pb_15N_30d,rf_pb_15N_15d,Xv_pb_10N_15d,rf_pb_10P_30d,rf_pb_20N_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
175426,FLIP-USD,2024-07-10,1.386441946029663,0.98853266,0.1199530641178051,0.44890653056094243,0.42003003070640765,0.5829633670890063,0.010088306,0.4024360343946563,0.009942608,0.90308934,0.8373850312808714,0.5273942098607999,0.4998199839233122,0.8849005,0.9588665574178116,0.5670438548866993,0.9100145578263498,0.6107937532239003,0.81214345,0.4855740184473061,0.4675154523838733,0.25824734587902537,0.4024360343946563,0,0.7494841590641664,0.6808091262356449,0
141529,DREAMS-USD,2024-07-10,0.0004879999905824661,0.9840237,0.3693831823103854,0.2966464050491117,0.18664032085998616,0.34827143608025957,0.007304427,0.3033241150865323,0.014439768,0.8477629,0.5421704773663703,0.41316099319663435,0.38280208923629977,0.88416654,0.6938295818941957,0.5139685951303598,0.5147841738948816,0.4578994824619824,0.6437221,0.2577598361887155,0.4000540024303183,0.18675388796581238,0.3033241150865323,0,0.6170070340267368,0.5016681133382173,0
18292,ALEPH-USD,2024-07-10,0.18395699560642242,0.95970374,0.6259522581397706,0.47663540626040635,0.4006602639706355,0.5409837629261002,0.007408664,0.4011421990705196,0.0074827196,0.87924886,0.5422562367551543,0.43714936470767307,0.46223009523101377,0.87660056,0.6360575816892075,0.5434597723026168,0.49310648347698477,0.5300571303696304,0.5116679,0.3868105596838473,0.46048666392087445,0.313706859034451,0.4011421990705196,0,0.6446561522036748,0.5086425002641429,0
70919,BONDLY-USD,2024-07-10,0.0028329999186098576,0.98230076,0.3860752129855013,0.4774441971427267,0.36932687520178165,0.43026473685413313,0.007304427,0.3649426588048362,0.014439768,0.88082016,0.4701758324871295,0.3901003999125782,0.4194681413214695,0.88416654,0.6941243127771769,0.47992480726765174,0.567568231306422,0.46733679351694063,0.686429,0.39015593652922415,0.3574168574115943,0.27500406238333597,0.3649426588048362,0,0.624995369073344,0.5084925954831262,0
157153,EPX-USD,2024-07-10,0.00011600000289035961,0.98230076,0.6484495870026377,0.4907396516881811,0.34687892096723366,0.4480742606636569,0.007304427,0.3956505142057609,0.014439768,0.88082016,0.3647890972154569,0.39885905792123616,0.4265850244383526,0.88416654,0.3375311213824544,0.4926748072676517,0.22426001148819896,0.47938441256455966,0.7606221,0.3847816996549872,0.3492392017339386,0.3106813204803052,0.3956505142057609,0,0.5550186044512202,0.5074765167716311,0
88255,CETUS-USD,2024-07-10,0.060506001114845276,0.98230076,0.4758437170324385,0.47272197492050444,0.37135717823208464,0.43026473685413313,0.007304427,0.3649426588048362,0.014439768,0.88082016,0.4621902821993416,0.3901003999125782,0.4194681413214695,0.88416654,0.6036164221995751,0.47992480726765174,0.4541584249604915,0.46733679351694063,0.686429,0.39015593652922415,0.3574168574115943,0.2877873271344847,0.3649426588048362,0,0.6037094580498371,0.5066526080362646,0
93503,CHZ-USD,2024-07-10,0.06499999761581421,0.98230076,0.5088142170262554,0.47272197492050444,0.37135717823208464,0.43026473685413313,0.007304427,0.3666093254715028,0.014439768,0.88082016,0.46215802583942894,0.3901003999125782,0.4194681413214695,0.88416654,0.6371561189673526,0.48810662544946987,0.4992085805868385,0.46733679351694063,0.686429,0.39015593652922415,0.3574168574115943,0.2926268916814461,0.3666093254715028,0,0.6126343279208191,0.5066451756997089,0
33181,ARB-USD,2024-07-10,0.0011470000026747584,0.98230076,0.4848665776481588,0.4774441971427267,0.36932687520178165,0.43026473685413313,0.007304427,0.3649426588048362,0.014439768,0.88082016,0.45933451195472635,0.3901003999125782,0.4194681413214695,0.88416654,0.6073817793582245,0.47992480726765174,0.4631876540787735,0.46733679351694063,0.686429,0.39015593652922415,0.3574168574115943,0.2895051219989621,0.3649426588048362,0,0.6050185603343842,0.5059945968520825,0
123248,DCK-USD,2024-07-10,0.033897001296281815,0.9840237,0.457674365513148,0.2966464050491117,0.18664032085998616,0.34827143608025957,0.007304427,0.3033241150865323,0.014439768,0.8477629,0.5556959342998916,0.41316099319663435,0.38280208923629977,0.88416654,0.6884817663614028,0.5139685951303598,0.5160390024217256,0.4578994824619824,0.6437221,0.2577598361887155,0.4000540024303183,0.19971368172439966,0.3033241150865323,0,0.6165309613907373,0.5047845762085101,0
62386,BLOK-USD,2024-07-10,0.0009169999975711107,0.98230076,0.5348637819545161,0.4774441971427267,0.36932687520178165,0.43026473685413313,0.007304427,0.3649426588048362,0.014439768,0.88082016,0.452977037399109,0.3901003999125782,0.4194681413214695,0.88416654,0.6162172795836341,0.47992480726765174,0.4719812323341446,0.46733679351694063,0.686429,0.39015593652922415,0.3574168574115943,0.29684394602206193,0.3649426588048362,0,0.6068727468404419,0.5045297418384003,0
