,Symbol,Date,Close,rf_pb_25N_30d,Xv_pb_10N_30d,rf_pb_10N_30d,lr_pb_10N_30d,rf_pb_10N_15d,rf_pb_15N_30d,rf_pb_15N_15d,Xv_pb_15N_30d,rf_pb_20P_30d,rf_pb_10P_15d,lr_pb_15N_30d,rf_pb_20N_30d,Xv_pb_20N_30d,lr_pb_10P_30d,lr_pb_10N_15d,Xv_pb_15P_30d,rf_pb_10P_30d,rf_pb_15P_30d,Xv_pb_10P_30d,Xv_pb_10N_15d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
203870,GODS-USD,2024-08-06,0.217448890209198,0.5472459873288047,0.95987886,0.5733273547672045,0.9731275817873375,0.5276103467682416,0.48652222364838466,0.5967111368164002,0.9482682,0.4489705751764576,0.3430598047807026,0.9581601169607697,0.5473836845129417,0.8336551,0.006986265845159985,0.8439350669765125,0.0040324857,0.3137487218663689,0.3383334998334999,0.022991765,0.8254342,0.19574796125510424,0.3430598047807026,0,0.7535819435583297,0.6904124406519463,0
290377,MARS4-USD,2024-08-06,0.0005861769313924015,0.4926748072676517,0.98230076,0.39885905792123616,0.28689713463800226,0.4265850244383526,0.4480742606636569,0.47938441256455966,0.88082016,0.4907396516881811,0.3956505142057609,0.20022874956912073,0.3492392017339386,0.88416654,0.4189273196886103,0.23576321039986034,0.007304427,0.3847816996549872,0.34687892096723366,0.014439768,0.7606221,0.27699096613810553,0.3956505142057609,0,0.5469827866371562,0.4777470675157741,0
382826,PSL-USD,2024-08-06,0.00014153416850604117,0.47992480726765174,0.98230076,0.3901003999125782,0.4351621042260152,0.4194681413214695,0.43026473685413313,0.46733679351694063,0.88082016,0.4774441971427267,0.3649426588048362,0.3024644720992772,0.3574168574115943,0.88416654,0.49667139920201514,0.3390792516307276,0.007304427,0.39015593652922415,0.36932687520178165,0.014439768,0.686429,0.29123788904483533,0.3649426588048362,0,0.5699263757899179,0.47828602806958886,0
554966,ZCX-USD,2024-08-06,0.06719890236854553,0.5221504133121779,0.9840237,0.41316099319663435,0.6881499465463077,0.38280208923629977,0.3693825471913707,0.4567883713508713,0.8477629,0.2919241828268895,0.30499078175319894,0.5305546035495052,0.4000540024303183,0.88416654,0.20750132533134957,0.44398705949852846,0.007304427,0.2677598361887155,0.19985244207210737,0.014439768,0.6437221,0.16646557477149823,0.30499078175319894,0,0.6212918111005964,0.47878798016894186,0
477131,TRVL-USD,2024-08-06,0.0263202004134655,0.5139685951303598,0.9840237,0.41316099319663435,0.6656095932481391,0.38280208923629977,0.34827143608025957,0.4578994824619824,0.8477629,0.2966464050491117,0.3033241150865323,0.501984561600221,0.4000540024303183,0.88416654,0.23143205327093966,0.4459526546421246,0.007304427,0.2577598361887155,0.18664032085998616,0.014439768,0.6437221,0.16650477456329155,0.3033241150865323,0,0.6125867476263057,0.47949812134058256,0
463218,THETA-USD,2024-08-06,1.0951634645462036,0.612564529897347,0.9665936,0.5760587947414948,0.07825328117388368,0.43755894349315405,0.539372502887848,0.5989805402930404,0.8753347,0.35342306673860385,0.3687013694690899,0.05546169019536364,0.4836418026418026,0.8849005,0.6328523796352233,0.09457685680717692,0.010088306,0.36310834304584305,0.25400710685177214,0.009942608,0.77570707,0.2660259796512716,0.3687013694690899,0,0.5682567375653914,0.4798290862785457,0
298316,MEME-USD,2024-08-06,0.010278843343257904,0.49840907300191745,0.98230076,0.40266064522282347,0.3004437235860274,0.43044866080198896,0.45032426066365694,0.4782733014534486,0.88082016,0.5047955957441251,0.3714437051773614,0.21840158714304467,0.3501879196826566,0.88416654,0.6037245085881442,0.24190124365108612,0.007304427,0.37690624177952936,0.351207925296238,0.014439768,0.7606221,0.3055772912101828,0.3714437051773614,0,0.5517176376561426,0.4800240925547428,0
486338,UNB-USD,2024-08-06,0.00043367609032429755,0.5139685951303598,0.9840237,0.41316099319663435,0.6896306993263639,0.38280208923629977,0.34827143608025957,0.4578994824619824,0.8477629,0.2966464050491117,0.3033241150865323,0.528098641671147,0.4000540024303183,0.88416654,0.20442048267186255,0.4487924171544318,0.007304427,0.2577598361887155,0.18664032085998616,0.014439768,0.6437221,0.16253988960693494,0.3033241150865323,0,0.6178445583380779,0.4801524441093846,0
358443,OXT-USD,2024-08-06,0.06313446909189224,0.5221504133121779,0.9840237,0.41316099319663435,0.6813465262350089,0.38280208923629977,0.34827143608025957,0.4578994824619824,0.8477629,0.2919241828268895,0.30499078175319894,0.522606381112455,0.4000540024303183,0.88416654,0.2170972618785179,0.4495554303855862,0.007304427,0.2577598361887155,0.18300395722362253,0.014439768,0.6437221,0.16302177922523842,0.30499078175319894,0,0.6171163478251167,0.48032825350466957,0
363626,PENDLE-USD,2024-08-06,2.683708906173706,0.5570726634476634,0.964954,0.5395009035872413,0.45622446306957665,0.4571057244149352,0.5707796333390961,0.5545578518703518,0.7967511,0.3631992590742592,0.46794784439243126,0.32764893406366274,0.5078503441003442,0.85913503,0.3773921411682381,0.345432066733028,0.010231861,0.36006904206904194,0.2638965646162298,0.0112319235,0.56568307,0.23145456055620983,0.46794784439243126,0,0.6225061918841119,0.48088449475594075,0
