;Symbol;Date;Close;Models;Probability;model;percent_correct_entries;simulate_variation;reached_target
63;RLC-USD;2024-08-24;1,7634788751602173;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,3258426966292135;0,06583992360798854;False
101;AKT-USD;2024-08-24;2,788041114807129;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,34444444444444444;0,06237030776438001;False
146;PROM-USD;2024-08-24;6,162393569946289;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,27472527472527475;0,048186376674717736;False
81;ERN-USD;2024-08-24;2,435678005218506;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,21666666666666667;0,039324907479130665;False
77;UMA-USD;2024-08-24;2,3571279048919678;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,24858757062146894;0,032133811071012264;False
31;NMR-USD;2024-08-24;17,532855987548828;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,30917874396135264;0,013104371925546027;False
90;RUNE-USD;2024-08-24;4,422937870025635;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,3425414364640884;0,00228579101692164;False
64;NEO-USD;2024-08-24;10,86812686920166;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,24431818181818182;0,001252083230072003;False
115;SEAM-USD;2024-08-24;1,722213864326477;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,0;-0,2645708755210088;False
57;LYX-USD;2024-08-24;2,557368040084839;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,009009009009009009;-0,20431229534716844;False
38;FXS-USD;2024-08-24;2,210646867752075;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,03910614525139665;-0,16944151487222692;False
69;MOVR-USD;2024-08-24;10,72688102722168;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,08737864077669903;-0,11742197740386226;False
72;RPL-USD;2024-08-24;13,868799209594727;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,08695652173913043;-0,10337160129593408;False
61;SNX-USD;2024-08-24;1,612776517868042;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,15;-0,09834149691434778;False
70;PLU-USD;2024-08-24;2,7913119792938232;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,08108108108108109;-0,09438420661665106;False
106;ELA-USD;2024-08-24;1,9530845880508423;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,10555555555555556;-0,08678979791570399;False
92;STRK-USD;2024-08-24;6,94288444519043;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,09424083769633508;-0,07973669128666945;False
71;OP-USD;2024-08-24;1,5634582042694092;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,15934065934065933;-0,07713850242529129;False
87;ATOM-USD;2024-08-24;5,126262664794922;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,12637362637362637;-0,0748449846510278;False
54;PYR-USD;2024-08-24;3,0974504947662354;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,1813186813186813;-0,0744668934022629;False
75;XCH-USD;2024-08-24;16,60019874572754;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,14634146341463414;-0,0728812770561133;False
