name_file,name_model,target,version,date_add,true_negative,false_positive,false_negative,true_positive,accuracy,precision,recall,auc_roc,f1_score
logistic_regression_v1.0_bl_target_25N_15d,lr_pb_25N_15d,bl_target_25N_15d,v1.0,2024-08-04,92494,32885,7320,7112,0.7124332134095315,0.17781333600020002,0.4927937915742794,0.6712516491461303,0.2613312756067538
random_forest_v1.0_bl_target_25N_15d,rf_pb_25N_15d,bl_target_25N_15d,v1.0,2024-08-04,92422,32957,3132,11300,0.7418729570634642,0.2553268409517139,0.7829822616407982,0.8424620790340186,0.3850806795140486
XGB_v1.0_bl_target_25N_15d,Xv_pb_25N_15d,bl_target_25N_15d,v1.0,2024-08-04,88066,37313,3792,10640,0.705995951677622,0.2218839280128459,0.7372505543237251,0.7939942582449215,0.3411076380540194
logistic_regression_v1.0_bl_target_10N_30d,lr_pb_10N_30d,bl_target_10N_30d,v1.0,2024-08-04,51648,29455,17503,41205,0.6641322928811038,0.5831446362864421,0.7018634598351162,0.7287170361590447,0.6370199740275803
random_forest_v1.0_bl_target_10N_30d,rf_pb_10N_30d,bl_target_10N_30d,v1.0,2024-08-04,63042,18061,10890,47818,0.7929275951105421,0.7258458689415443,0.8145056891735368,0.8816221187284989,0.7676242304574313
XGB_v1.0_bl_target_10N_30d,Xv_pb_10N_30d,bl_target_10N_30d,v1.0,2024-08-04,57253,23850,15066,43642,0.721652802712233,0.6466247851597227,0.7433739865095047,0.8071004240017122,0.6916323296354991
logistic_regression_v1.0_bl_target_15N_30d,lr_pb_15N_30d,bl_target_15N_30d,v1.0,2024-08-04,62786,29311,17060,30654,0.6683308180329158,0.5111981989493871,0.6424529488200528,0.7215602625840865,0.569358927924665
random_forest_v1.0_bl_target_15N_30d,rf_pb_15N_30d,bl_target_15N_30d,v1.0,2024-08-04,71216,20881,9153,38561,0.7851814234931443,0.6487163958144073,0.8081695099970658,0.875457580914059,0.7197170480421068
XGB_v1.0_bl_target_15N_30d,Xv_pb_15N_30d,bl_target_15N_30d,v1.0,2024-08-04,65872,26225,12718,34996,0.7214596848602757,0.5716339164665719,0.7334534937334954,0.8057014811017273,0.6425115894799651
logistic_regression_v1.0_bl_target_20N_30d,lr_pb_20N_30d,bl_target_20N_30d,v1.0,2024-08-04,79029,23520,17757,19505,0.7047657194355237,0.4533410807669959,0.5234555311040738,0.7164638338427677,0.4858818986884551
random_forest_v1.0_bl_target_20N_30d,rf_pb_20N_30d,bl_target_20N_30d,v1.0,2024-08-04,79081,23468,7590,29672,0.7778572501448384,0.5583741061347385,0.7963072298856744,0.8695421708277707,0.6564456538572155
XGB_v1.0_bl_target_20N_30d,Xv_pb_20N_30d,bl_target_20N_30d,v1.0,2024-08-04,73776,28773,9933,27329,0.7231548304496785,0.487130583579908,0.7334281573721217,0.8084923951458379,0.5854290733044857
logistic_regression_v1.0_bl_target_25N_30d,lr_pb_25N_30d,bl_target_25N_30d,v1.0,2024-08-04,68229,43576,8158,19848,0.6299718906237707,0.312941473259334,0.7087052774405485,0.7180756876725545,0.4341682161216231
random_forest_v1.0_bl_target_25N_30d,rf_pb_25N_30d,bl_target_25N_30d,v1.0,2024-08-04,86357,25448,5394,22612,0.7794021929604966,0.47049521431543906,0.8073984146254374,0.8729867694664304,0.5945363237188758
XGB_v1.0_bl_target_25N_30d,Xv_pb_25N_30d,bl_target_25N_30d,v1.0,2024-08-04,81813,29992,7171,20835,0.7341911580633855,0.40991992444960357,0.7439477254873955,0.8187198972481837,0.5285857445486027
