name_file,name_model,target,version,date_add,true_negative,false_positive,false_negative,true_positive,accuracy,precision,recall,auc_roc,f1_score
logistic_regression_v2.1.20_bl_target_10P_30d,lr_pb_10P_30d,bl_target_10P_30d,v2.1.20,2024-08-25,4429,2129,1967,1307,0.5834011391375101,0.38038416763678695,0.3992058643860721,0.5528864846416255,0.3895678092399404
random_forest_v2.1.20_bl_target_10P_30d,rf_pb_10P_30d,bl_target_10P_30d,v2.1.20,2024-08-25,5834,724,303,2971,0.8955451586655818,0.8040595399188092,0.907452657299939,0.9597745403404758,0.8526330893958961
XGB_v2.1.20_bl_target_10P_30d,Xv_pb_10P_30d,bl_target_10P_30d,v2.1.20,2024-08-25,5434,1124,519,2755,0.8328925956061839,0.7102345965455015,0.8414783139890043,0.9105730679470607,0.7703061652453517
logistic_regression_v2.1.20_bl_target_15P_30d,lr_pb_15P_30d,bl_target_15P_30d,v2.1.20,2024-08-25,3823,3308,1241,1460,0.5373270951993491,0.3062080536912752,0.5405405405405406,0.5579667876219879,0.39094925692863836
random_forest_v2.1.20_bl_target_15P_30d,rf_pb_15P_30d,bl_target_15P_30d,v2.1.20,2024-08-25,6352,779,246,2455,0.8957485760781123,0.7591218305504019,0.9089226212513883,0.9591210524613399,0.8272957034540859
XGB_v2.1.20_bl_target_15P_30d,Xv_pb_15P_30d,bl_target_15P_30d,v2.1.20,2024-08-25,5865,1266,420,2281,0.8285191212367778,0.6430786580208627,0.8445020362828582,0.9084478753798317,0.7301536491677337
logistic_regression_v2.1.20_bl_target_20P_30d,lr_pb_20P_30d,bl_target_20P_30d,v2.1.20,2024-08-25,2741,4857,622,1612,0.4427379983726607,0.24918843716184882,0.7215756490599821,0.5697630931949061,0.37044697230839946
random_forest_v2.1.20_bl_target_20P_30d,rf_pb_20P_30d,bl_target_20P_30d,v2.1.20,2024-08-25,6714,884,204,2030,0.8893409275834011,0.696636925188744,0.9086839749328559,0.9566998972306475,0.7886557886557887
XGB_v2.1.20_bl_target_20P_30d,Xv_pb_20P_30d,bl_target_20P_30d,v2.1.20,2024-08-25,6316,1282,310,1924,0.8380797396257119,0.6001247660636307,0.8612354521038496,0.9184014640803321,0.7073529411764706
logistic_regression_v2.1.20_bl_target_25P_30d,lr_pb_25P_30d,bl_target_25P_30d,v2.1.20,2024-08-25,4913,3075,912,932,0.5944873881204231,0.2325929623159471,0.5054229934924078,0.5704336738296164,0.31857802085113657
random_forest_v2.1.20_bl_target_25P_30d,rf_pb_25P_30d,bl_target_25P_30d,v2.1.20,2024-08-25,7038,950,157,1687,0.8874084621643613,0.639742131209708,0.9148590021691974,0.9579437282279167,0.7529569292568623
XGB_v2.1.20_bl_target_25P_30d,Xv_pb_25P_30d,bl_target_25P_30d,v2.1.20,2024-08-25,6568,1420,234,1610,0.8317737998372661,0.5313531353135313,0.8731019522776573,0.9203821323090926,0.6606483381206402
logistic_regression_v2.1.20_bl_target_10N_30d,lr_pb_10N_30d,bl_target_10N_30d,v2.1.20,2024-08-25,2823,3816,1130,2063,0.4969487388120423,0.3509100187106651,0.6461008455997495,0.555398027400936,0.4548059964726631
random_forest_v2.1.20_bl_target_10N_30d,rf_pb_10N_30d,bl_target_10N_30d,v2.1.20,2024-08-25,5893,746,320,2873,0.8915785191212368,0.7938657087593258,0.8997807704353272,0.956051295934816,0.8435114503816794
XGB_v2.1.20_bl_target_10N_30d,Xv_pb_10N_30d,bl_target_10N_30d,v2.1.20,2024-08-25,5390,1249,505,2688,0.8216029292107404,0.682753365506731,0.8418415283432509,0.8994468525747339,0.7539971949509117
logistic_regression_v2.1.20_bl_target_15N_30d,lr_pb_15N_30d,bl_target_15N_30d,v2.1.20,2024-08-25,3688,3773,952,1419,0.519426362896664,0.2733050847457627,0.5984816533108394,0.5708772924140155,0.3752479174930583
random_forest_v2.1.20_bl_target_15N_30d,rf_pb_15N_30d,bl_target_15N_30d,v2.1.20,2024-08-25,6469,992,253,2118,0.8733726606997559,0.6810289389067524,0.8932939687895403,0.9464938755618914,0.7728516694033936
XGB_v2.1.20_bl_target_15N_30d,Xv_pb_15N_30d,bl_target_15N_30d,v2.1.20,2024-08-25,6042,1419,368,2003,0.8182465419039869,0.5853302162478083,0.8447912273302404,0.8989451177332588,0.6915242534092871
logistic_regression_v2.1.20_bl_target_20N_30d,lr_pb_20N_30d,bl_target_20N_30d,v2.1.20,2024-08-25,3975,4154,674,1029,0.5089503661513426,0.19853366775998457,0.6042278332354668,0.5739440656235583,0.2988672669183851
random_forest_v2.1.20_bl_target_20N_30d,rf_pb_20N_30d,bl_target_20N_30d,v2.1.20,2024-08-25,6925,1204,156,1547,0.8616761594792515,0.5623409669211196,0.9083969465648855,0.9486852021430416,0.6946564885496183
XGB_v2.1.20_bl_target_20N_30d,Xv_pb_20N_30d,bl_target_20N_30d,v2.1.20,2024-08-25,6512,1617,223,1480,0.8128559804719284,0.4778818211172102,0.8690546095126248,0.9099299557986251,0.6166666666666667
logistic_regression_v2.1.20_bl_target_25N_30d,lr_pb_25N_30d,bl_target_25N_30d,v2.1.20,2024-08-25,3925,4748,415,744,0.4748779495524817,0.13546977421704298,0.6419327006039689,0.5824077719006762,0.22372575552548488
random_forest_v2.1.20_bl_target_25N_30d,rf_pb_25N_30d,bl_target_25N_30d,v2.1.20,2024-08-25,7428,1245,105,1054,0.8626932465419039,0.45846020008699434,0.909404659188956,0.9502608285091724,0.609600925390399
XGB_v2.1.20_bl_target_25N_30d,Xv_pb_25N_30d,bl_target_25N_30d,v2.1.20,2024-08-25,7147,1526,146,1013,0.8299430431244914,0.39897597479322566,0.8740293356341674,0.9186634072180809,0.5478637101135748
