name_file,name_model,target,version,date_add,true_negative,false_positive,false_negative,true_positive,accuracy,precision,recall,auc_roc,f1_score
logistic_regression_v2.0.20_bl_target_10P_30d,lr_pb_10P_30d,bl_target_10P_30d,v2.0.20,2024-08-25,4129,2429,1804,1470,0.56946704637917,0.3770197486535009,0.4489920586438607,0.5656430575869881,0.4098703471350899
random_forest_v2.0.20_bl_target_10P_30d,rf_pb_10P_30d,bl_target_10P_30d,v2.0.20,2024-08-25,5923,635,272,3002,0.9077502034174125,0.825405554028045,0.9169211973121564,0.9655557160829648,0.8687599479091304
XGB_v2.0.20_bl_target_10P_30d,Xv_pb_10P_30d,bl_target_10P_30d,v2.0.20,2024-08-25,5580,978,470,2804,0.8527257933279089,0.7414066631411952,0.8564447159437997,0.925927949337177,0.7947845804988662
logistic_regression_v2.0.20_bl_target_15P_30d,lr_pb_15P_30d,bl_target_15P_30d,v2.0.20,2024-08-25,3720,3411,1097,1604,0.5414971521562246,0.3198404785643071,0.5938541281007035,0.5833833441558155,0.41575946086054955
random_forest_v2.0.20_bl_target_15P_30d,rf_pb_15P_30d,bl_target_15P_30d,v2.0.20,2024-08-25,6444,687,240,2461,0.9057160292921074,0.7817662007623888,0.9111440207330618,0.9619314452216521,0.8415113694648657
XGB_v2.0.20_bl_target_15P_30d,Xv_pb_15P_30d,bl_target_15P_30d,v2.0.20,2024-08-25,6009,1122,349,2352,0.850386493083808,0.6770293609671848,0.8707885968159941,0.9279252800670957,0.7617813765182188
logistic_regression_v2.0.20_bl_target_20P_30d,lr_pb_20P_30d,bl_target_20P_30d,v2.0.20,2024-08-25,4210,3388,918,1316,0.5620423108218063,0.27976190476190477,0.5890778871978514,0.5945688364958691,0.37936004612280194
random_forest_v2.0.20_bl_target_20P_30d,rf_pb_20P_30d,bl_target_20P_30d,v2.0.20,2024-08-25,6824,774,186,2048,0.9023596419853539,0.7257264351523742,0.9167412712623098,0.9648353428068406,0.810126582278481
XGB_v2.0.20_bl_target_20P_30d,Xv_pb_20P_30d,bl_target_20P_30d,v2.0.20,2024-08-25,6391,1207,269,1965,0.8498779495524816,0.6194829760403531,0.8795881826320502,0.9335024141725087,0.7269700332963374
logistic_regression_v2.0.20_bl_target_25P_30d,lr_pb_25P_30d,bl_target_25P_30d,v2.0.20,2024-08-25,5034,2954,873,971,0.6107607811228641,0.24738853503184713,0.5265726681127982,0.6033822968726409,0.33662679840526955
